locus	orf	orf_start	annotation
14_0929_02_40cm_Rokubacteria_2807_70_29:1	14_0929_02_40cm_scaffold_111_35	33422	Isovaleryl-CoA dehydrogenase
14_0929_02_40cm_Rokubacteria_2807_70_29:1	14_0929_02_40cm_scaffold_111_36	34598	unk
14_0929_02_40cm_Rokubacteria_2807_70_29:3	14_0929_02_40cm_scaffold_111_37	34868	AMP-binding enzyme
			
14_0929_09_20cm_Bacteria_6721_56_10:3	14_0929_09_20cm_scaffold_69_2	300	unk
14_0929_09_20cm_Bacteria_6721_56_10:3	14_0929_09_20cm_scaffold_69_3	2053	(Dimethylallyl)adenosine tRNA methylthiotransferase MiaB 
14_0929_09_20cm_Bacteria_6721_56_10:3	14_0929_09_20cm_scaffold_69_4	2598	(Dimethylallyl)adenosine tRNA methylthiotransferase MiaB 
14_0929_09_20cm_Bacteria_6721_56_10:3	14_0929_09_20cm_scaffold_69_5	3343	S-methyl-5'-thioadenosine phosphorylase
14_0929_09_20cm_Bacteria_6721_56_10:3	14_0929_09_20cm_scaffold_69_6	4287	8-amino-7-oxononanoate synthase
14_0929_09_20cm_Bacteria_6721_56_10:3	14_0929_09_20cm_scaffold_69_7	4580	Serine-type D-Ala-D-Ala carboxypeptidase
			
14_0929_09_30cm_Armatimonadetes_6837_65_8:3	14_0929_09_30cm_scaffold_367_6	3645	inner-membrane translocator
14_0929_09_30cm_Armatimonadetes_6837_65_8:3	14_0929_09_30cm_scaffold_367_7	4716	Sugar binding protein of ABC transporter
14_0929_09_30cm_Armatimonadetes_6837_65_8:3	14_0929_09_30cm_scaffold_367_8	5799	putative oxidoreductase
14_0929_09_30cm_Armatimonadetes_6837_65_8:3	14_0929_09_30cm_scaffold_367_9	6962	glutamine--scyllo-inositol transaminase
14_0929_09_30cm_Armatimonadetes_6837_65_8:3	14_0929_09_30cm_scaffold_367_10	8661	ABC transporter, substrate binding protein
14_0929_09_30cm_Armatimonadetes_6837_65_8:3	14_0929_09_30cm_scaffold_367_11	9912	spermidine/putrescine ABC transporter ATPase subunit
14_0929_09_30cm_Armatimonadetes_6837_65_8:3	14_0929_09_30cm_scaffold_367_12	10963	ABC transporter permease
14_0929_09_30cm_Armatimonadetes_6837_65_8:3	14_0929_09_30cm_scaffold_367_13	11856	ABC transporter permease
14_0929_09_30cm_Armatimonadetes_6837_65_8:3	14_0929_09_30cm_scaffold_367_14	12701	Glycerophosphoryl diester phosphodiesterase
			
14_0929_12_30cm_Bacteria_7383_54_8:1	14_0929_12_30cm_scaffold_709_17	16720	unk
14_0929_12_30cm_Bacteria_7383_54_8:1	14_0929_12_30cm_scaffold_709_18	17082	riboflavin biosynthesis protein RibF
14_0929_12_30cm_Bacteria_7383_54_8:1	14_0929_12_30cm_scaffold_709_19	18152	TruB family pseudouridylate synthase
14_0929_12_30cm_Bacteria_7383_54_8:1	14_0929_12_30cm_scaffold_709_20	18920	Phosphoesterase RecJ domain protein
14_0929_12_30cm_Bacteria_7383_54_8:1	14_0929_12_30cm_scaffold_709_21	20040	Ribosome-binding factor A
14_0929_12_30cm_Bacteria_7383_54_8:1	14_0929_12_30cm_scaffold_709_22	20502	Translation initiation factor IF-2
			
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_92	102400	Carboxypeptidase regulatory-like domain
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_93	106200	DeoC/LacD family aldolase nucleotide metabolism
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_94	107194	pfkB family carbohydrate kinase
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_95	108192	Sugar kinase, ribokinase family
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_96	109673	unk
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_97	110950	unk
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_98	111205	unk
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_99	111641	 ATP dependent DNA ligase 
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_100	113334	unk
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_101	114206	
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_102	114359	PQQ-dependent enzyme-like protein
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_103	116284	 class I cytochrome c 
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_104	117593	Cys/Met metabolism PLP-dependent enzyme
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_105	119250	unk
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_106	119772	Glycosyl transferase
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_107	120539	nucleotide-diphospho-sugar transferases
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_108	121218	unk
14_1009_16_30cm_Bacteria_10556_58_16:8	14_1009_16_30cm_scaffold_30_109	122558	radical SAM
